Key,English(en),German(de),Hindi(hi),Notes(no),
level1.Dialogue1.3.C1,"I’m sorry to bother you, but I forgot my password to my Friendbook-account. Could you help me access my account?","Entschuldige die Störung, aber ich habe irgendwie meine Logindaten für meinen Friendbook-Account vergesssen. Könntest du mir vielleicht helfen den Zugang zu meinem Account wiederzuerlangen?",,,
level1.Dialogue1.4A.P,"Sure, I’d love to help out!",Na klar!,,,
level1.Dialogue1.4B.P,Let’s check out your profile.,Lass uns mal dein Profil anschauen.,,,
level1.Dialogue1.5.C1,How can my profile be of any help?,Wie kann mein Profil hilfreich sein?,,,
level1.Dialogue1.6.P,"Well, maybe...","Ja, vielleicht...",,Unfortunately we often use actual names and numbers that have a personal meaning instead of random ones for our passwords. I will take a close look around your profile and see if I find any clues that may help me deduce your login-information.,
level1.Dialogue1.7.P,Unfortunately we often use actual names and numbers that have a personal meaning instead of random ones for our passwords.,Leider nutzen viele Menschen noch immer echte Namen aus ihrem sozialen Umfeld und Zahlen mit persönlicher Bedeutung in ihren Passwörtern.,,,
level1.Dialogue1.8.C1,Oh... That sounds like me... :(,"Ohje, das klingt nach mir... :(",,,
level1.Dialogue1.9.P,Lets take a look. :),Lass uns mal schauen. :),,,
level1.Dialogue1.10.P,I will attempt to sign into your account once I think I know your email and password. I will let you know once I managed to break into your account.,Sobald ich eine Idee habe was deine email und Passwort sein könnten werde ich versuchen mich anzumelden und danach bei dir melden.,,,
,,,,,
,,,,,
,,,,,
,,,,,
level1.Char1.Name,Tara Patel,Tara Patel,,,
,,,,,
level1.AboutMe.DOB,14.3.2002,14.3.2002,,,
level1.AboutMe.Location,"Berlin, Germany","Berlin, Deutschland",,,
level1.AboutMe.job,student ;),Student ;),,,
level1.AboutMe.education,see above.,siehe oben...,,,
level1.AboutMe.contact.address,-,-,,,
level1.AboutMe.contact.phone,-,-,,,
level1.AboutMe.contact.email,(private),(Privat),,,
level1.AboutMe.relationship,I'm in love with Lucy!!! <3,verlobt mit Lucy!!! ;),,,
level1.Hobbies.1,playing with Lucy!,Mit Lucy spielen!,,,
level1.Hobbies.2,skateboarding,skateboarden,,,
level1.Hobbies.3,eating ice cream,Eis essen,,,
,,,,,
level1.Feed.Post1,Me and Lucy went out for icecream. Isn't she the cutest?,War mit Lucy ein Eis essen... ist sie nicht einfach die Süßeste?,,TARA - [image of {player} with her dog],
level1.Feed.Post1.comment1,"Nice, i hope you had fun! <3","Schön, Ich hoffe ihr hattet Spaß! <3",,Aynur,
level1.Feed.Post1.comment2,"You guys never sit still, huh?","Ihr zwei sitzt auch nie still, oder?",,Paul,
level1.Feed.Post1.comment3,"Oh man, why didn't you say something? Me and Bernie woul've loved to join #dogLovers #dogs4life",Oh Mann... Warum hast du nicht Bescheid gegeben? Bernie und ich wären gerne dabei gewesen #dogLovers #dogs4life,,Sarah,
level1.Feed.Post1.comment3.response1,"Haha, I'm sorry Maria. Next time! <3","Haha, Sorry Maria. Nächstes Mal! <3",,TARA,
,,,,,
level1.Feed.Post2,Check out my new haircut! #JustDoIt #brave,Neuer Haarschnitt! #JustDoIt #brave,,TARA [image of {player} //filler] ,
level1.Feed.Post2.comment1,"Sorry, I can't tell the difference. I hope it wasn't to expensive.","Sorry, ich erkenne keinen Unterschied. Ich hoffe es war nicht teuer.",,Paul,
level1.Feed.Post2.comment2,SoOoOo gorgeous! Love it! Where did you go? #jealous,SoOoOo schön! Steht dir mega gut! Wo warst du? #Neid,,Aynur,
level1.Feed.Post2.comment3,"Dude, sweet new haircut! I hope Lucy still recognizes you, lol...","Wow, sieht richtig gut aus! Ich hoffe Lucy erkennt dich noch wieder, lol...",,Shaurya,
,,,,,
level1.Feed.Post3,"YESSS! We did it, Class of '02 strikes again. 1. place at the regionals! #regionals #ClassOf'02 ","YESSS! Wir habens geschafft, unser 02'er Jahrgang ist unschlagbar! Erster Platz bei den Regionalmeisterschaften! #RegionalMeister #2002FTW #besterJahrgang",,"TARA - [image of people, possibly {player} playing ball at a tournament or on a gras court or so]",
level1.Feed.Post3.comment1,"yeah, it was a piece of cake! well done, team! '02 rules! ","Jo, war mega einfach! Gut gemacht Team! Bester Jahrgang.",,Mustafa,
level1.Feed.Post3.comment2,"I said it before, and I will say it again: NOBODY can challenge 02's. Best year, best players. #ClassOf'02","Ich sagte es zuvor und ich sage es auch wieder: Niemand kann sich mit 02'ern anlegen! Bester Jahrgang, beste Spieler*innen! Und bestaussehend noch dazu ^^... #2002FTW",,TARA,
level1.Feed.Post3.comment3,CONGRATULATIONS! I'm really proud of you guys! GO TEAM!,Spitze! Ich bin echt stolz auf euch! Hip Hip Hurrah!,,Shaurya,
level1.Feed.Post3.comment3.response1,"PS: Guys, I took a bunch of pictures at the game. Would you like me to email them to you?","PS: Leute, I habe einiges an Fotos gemacht beim Spiel. Wollt ihr die zugeschickt haben?",,Shaurya,
level1.Feed.Post3.comment3.response2,"Oh sweet! Yes please, thats amazing, could you send them to me too? My email is: Tara.P@gmailer.com. Thank you Shaurya, you're the best! <3","Oh ja bitte! Magst du mir dir auch noch zuschicken? Meine email-Adresse ist: Tara.P@gmailer.com. Vielen lieben Dank Shaurya, bist die Beste! <3",,TARA,
level1.Feed.Post3.comment4,Amazing you guys! congrats!!!,Gut gemacht! Herzlichen Glückwunsch zum Titel!!!,,Aynur,
level1.Feed.Post3.comment4.response1,You know it!!!! GO '02!!!!,Ihr wisst Bescheid!!!! 2002'er Elite!!!,,TARA,
level1.Feed.Post3.comment5,"Not bad you guys, not bad at all!",Gar nicht mal so schlecht...,,Paul,
level1.Feed.Post3.comment5.response1,"Wow, high praise from grumpy Paul! Thank you ;)","Haha, hohes Lob von Miesepeter-Paul! :D Danke dir!",,Sarah,
,,,,,
level1.Feed.Post4,I just cant get over how cute Lucy is. Even when she's sleeping.,ich komm einfach nicht klar wie niedlich Lucy ist. Sogar wenn sie schläft.,,TARA - [image of sleeping dog],
level1.Feed.Post4.comment1,#love,#Love,,Aynur,
level1.Feed.Post4.comment2,"Not quite as cute as my Bernie, but very close! ;) #dogLovers","Nicht ganz so niedlich wie mein Bernie, aber ziemlich dicht dran! ;) #HundDesJahres",,Sarah,
level1.Feed.Post4.comment3,"It's weird to say, but she's literally the best thing that's ever happened to me... <3 #sorrynotsorry","Ich weiß es klingt komisch, aber sie ist im wahrsten Sinne des Wortes das Beste, was mir je passiert ist... <3 #InLove",,TARA,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
level1.Failsafe2.1.C1,How is it going? Do you have any idea what my login information may be?,Wie kommst du voran? Hast du eine Idee was meine Login-Informationen sind?,,,
level1.Failsafe2.2A.P,Your dog is super cute!,Dein Hund ist echt niedlich!,,,
level1.Failsafe2.2B.P,I noticed you post lots of pictures and mention her a lot. I may have an idea what your login-information may be ;),Du postest echt viel über sie... Ich habe da eine idee was dein Passwort sein könnte ;),,,
level1.Failsafe2.2C.P,And I think I saw your email in one of the comments.,Und ich glaube ich sah deine Email in einem der Kommentare.,,,
,,,,,
level1.Dialogue3.1.C1,Did it work?,Hat es funktioniert,,,
level1.Dialogue3.2.P,Hmmm…,Hmmm...,,"Hmmm… I found your email-address on your dashboard and think your password may be your dog's name, but I remember that Friendbook requires you to use numbers in their passwords too… I think I have an idea which numbers you may have used...",
level1.Dialogue3.3.P,"I think I know your email-address and your password may be your dog's name, but I remember that Friendbook requires you to use numbers in their passwords too…",Ich habe deine Email-Adresse in den Kommentaren gesehen und dein Passwort ist vermutlich der Name deines Hundes... Aber wenn ich mich recht erinnere müssen Friendbook-Passwörter neben Buchstaben auch nach Zahlen enthalten...,,,
,,,,,
level1.Failsafe3.1.C1,"You know what, with all the clues you gave me I think I remember: my account was linked to Tara.P@gmailer.com and my password must have been Lucy02","Weißt du was, mit all den Hinweisen von dir glaube ich sind mir meine Login-Informationen wieder eingefallen. Meine Email sollte Tara.P@gmailer.com sein und mein Passwort muss entweder Lucy02 oder Lucy2002 sein...",,,
level1.Failsafe3.2.P,Happy I could help!,Gar kein Thema :),,,
,,,,,
level1.EndGameDialogue.1.C1,"WOW, you got access to my account simply by browsing the information I posted on my public profile... I will make a more secure password and look into my privacy settings!","Oha, du hast den Zugang zu meinem Friendbook-Account nur durch das lesen meine einsehbaren Pinnwand und Infos herausgefunden? Ich glaube ich werde direkt mal ein neues, sichereres Passwort anlegen und meine Privatssphäre-Einstellungen überarbeiten!",,"WOW! You you did it, thanks! You got access to my account simply by browsing the information I posted on my public profile - That is very scary! I should make a more secure password right away and maybe look into my privacy settings!",
level1.EndGameDialogue.2A.P,I’m happy I could help!,Ich bin froh dass ich helfen konnte.,,,
level1.EndGameDialogue.2B.P,"And I agree, you should probably make some changes before someone else gets access to your account as well!","Und ja, auf jeden Fall. Das solltest du auf jeden Fall tun.",,,
level1.EndGameDialogue.EndButton,Bye!,Machs gut! :),,,
,,,,,
level1.email,Tara.P@gmailer.com,Tara.P@gmailer.com,,,
level1.password1,Lucy02,Lucy02,,,
level1.password2,Lucy2002,Lucy2002,,,
,,,,,
,,,,,
,,,,,
character2.chat,Dad,Papa,,"C2 --> his FB persona is ""Amit Advik""",
,,,,,
character2.profile,Babette Advik,,,"Mutter der Spieler, im chat nur ""Mom"" / ""Mama"" genannt. NOT C2!!! the dad is the one chatting and looking for info on the MOMs profile!",
level2.AboutMe.DOB,6.11.1976,,,,
level2.AboutMe.Location,"Berlin, Germany",,,,
level2.AboutMe.job,,,,,
level2.AboutMe.education,,,,,
level2.AboutMe.contact.address,,,,,
level2.AboutMe.contact.phone,,,,,
level2.AboutMe.contact.email,Babette.Advik@mymail.com,,,,
level2.AboutMe.relationship,,,,,
level2.Hobbies.1,Spending time with my family!,,,,
level2.Hobbies.2,Vacations,,,,
level2.Hobbies.3,Painting,,,,
,,,,,
level2.Dialogue1.1.C2,"Hey! I’m trying to log into our bank account, mom gave me the new account name and password, but now I'm stuck!",,,,
level2.Dialogue1.2.P,"Ok, how can I help?",,,,
level2.Dialogue1.3.C2,"Well, I have to answer these “security-questions” she set up to log in and I can’t reach her by phone. I figured you may know the answers or could help me figure them out? These are the questions:",,,,
level2.Dialogue1.4.C2,"Who was her first teacher?
What was the name of her first pet?
What was her first car?",,,,
level2.Dialogue1.5.P,"Sorry, dad. I don't know any of those. But maybe I can find the answers on her Friendbook profile.",,,,
level2.Dialogue1.6.C2,How could her social media profile be of any help?,,,,
level2.Dialogue1.7.P,"Many people overshare on social media. We often post things on the internet without considering possible, negative ramifications. Sometimes seemingly “harmless” posts can reveal more than we intend.",,,,
level2.Dialogue1.8.C2,"But you won’t “hack” into her account or do something sketchy, right?","Aber du wirst jetzt nicht ihren Account ""hacken"" oder irgendetwas anstellen, nicht wahr?",,,
level2.Dialogue1.9.P,"No, of course not!","Nein, natürlich nicht!",,,
level2.Dialogue1.10.C2,"Ok. Well, let me know if you find anything! Thanks for helping.",,,,
,,,,,
level2.Feed.Post1,Feeling down today... Does anyone have an idea on what to do?,,,BABETTE - [no image],
level2.Feed.Post1.comment1,"Sorry, Babs, this bad weather has me down too. There really isn't much to do if it rains all day...",,,Mustafa,
level2.Feed.Post1.comment2,"No worries friend. I will swing by later after work and we will watch a movie, what do you say?",,,Sarah,
level2.Feed.Post1.comment2.response1,actually that sounds really nice... Thank you! :) ,,,BABETTE,
level2.Feed.Post1.comment2.response2,Are you coming by car? ,,,BABETTE,
level2.Feed.Post1.comment2.response3,Sure am!,,,Sarah,
level2.Feed.Post1.comment2.response4,"Ok, then I'll move the car to make room in the driveway! See you in a bit :)",,,BABETTE,
level2.Feed.Post1.comment2.response5,Can't wait <3,,,Sarah,
level2.Feed.Post1.comment3,"Oh, oh, oh! Can I join when I get off work?",,,Amit,
level2.Feed.Post1.comment3.response1,No,,,BABETTE,
level2.Feed.Post1.comment3.response2,No,,,Sarah,
level2.Feed.Post1.comment3.response3,How about me?,,,Mustafa,
level2.Feed.Post1.comment3.response4,"Of course, Mustafa! The more the merrier :) <3",,,BABETTE,
level2.Feed.Post1.comment3.response5,A good day to be alive!,,,Amit,
,,,,,
level2.Feed.Post2,"Our family vacation last year! We got to see the mountains and even made it to the coast. I can't believe we didn't have a single mechanical isse. It was such a great time, I can't wait to go back!",,,"BABETTE - [image of C2, with MOM and child (Player) infront of an old VW Beetle]  ",
level2.Feed.Post2.comment1,"Haha, that's awesome!!! Great to see your old Beetle still going strong!",,,Aynur,
level2.Feed.Post2.comment2,That's nice! I believe I've been to that exact spot before...,,,Paul,
level2.Feed.Post2.comment3,"Wow, that's quite the trip you guys! Is that still the Beetle you got way back when we graduated together?",,,Sarah,
level2.Feed.Post2.comment3.response1,"Haha, yeah, I guess it is. Sometimes I forget for how long I've had this lovely little car! Still First and Only!",,,BABETTE ,
level2.Feed.Post2.comment3.response2,So true! I remember us taking it for a joyride the weekend of graduation and getting a flat tire less than 20 minutes in. Glad to hear it's gotten more sturdy! Go Beetle!,,,Sarah,
level2.Feed.Post2.comment4,"You are so right, honey! We should do this again soon! This time without kids though!",,,Amit,
level2.Feed.Post2.comment4.response1,<3,,,BABETTE,
level2.Feed.Post2.comment4.response2,Aweee!!! You guys are so cute!,,,Aynur,
,,,,,
level2.Feed.Post3,I am so excited! I've worked so hard for this and am very proud to say: I finally got the promotion I've been fighting for for so long!,,,"BABETTE - [image of MOM outside of the entrance to an office building, wearing a sharp work blouse, looking ready to go] ",
level2.Feed.Post3.comment1,"I'm happy to hear that things are coming together for you, Babette!",,,Paul,
level2.Feed.Post3.comment2,"Congrats, honey!!! I'm so proud of you!!! You deserve this! <3",,,Amit,
level2.Feed.Post3.comment3,:D You should hit up Mrs. Applecherry and tell her of your success. Prove that old lady wrong! Once and for all! ,,,Shaurya,
level2.Feed.Post3.comment3.response1,"Oh wow, trueeee... That's so long ago... Can't believe you remember",,,BABETTE,
level2.Feed.Post3.comment3.response2,Wait. What am I missing? Who are you talking about?,,,Sarah,
level2.Feed.Post3.comment3.response3,"You'r not missing anything, Sarah. Mrs. Applecherry was the first teacher and me had. I don't think any of her pupils would ever forget that lingering stare.",,,Shaurya,
level2.Feed.Post3.comment3.response4,"... She was a handfull... She'd NEVER miss an opportunity to let us know, that with our ""work-ethics"" none of us were to amount to anything in ""that world out there"". Babette proved her wrong, I am so proud! #BossLady #ChiefMarketingOfficer #NewOpportunities",,,Shaurya,
level2.Feed.Post3.comment3.response5,I got you. That's great! Well done on proving her wrong!,,,Sarah,
level2.Feed.Post3.comment3.response6,"Yes, I'm super happy. But let's not lay into Mrs. Applecherry, I saw her at the grocery store last week, and she really is the nicest old lady! She always meant well and only tried to motivate us.",,,BABETTE,
level2.Feed.Post3.comment4,"Haha, thinking about it: where is my promotion though? ",,,Amit,
level2.Feed.Post3.comment4.response1,"Soon honey, soon! Maybe ;)... Just teasing <3",,,BABETTE,
,,,,,
level2.Feed.Post4,Anyone still playing Candy Crunch Saga?,,,BABETTE - [no image],
level2.Feed.Post4.comment1,"No, but I'd be down for some LOL!",,,Tara,
level2.Feed.Post4.comment1.response1,"Oh fun! I will add you to my ""favorites"". What is your email? lol^^",,,BABETTE,
level2.Feed.Post4.comment1.response2,... I feel like I'm at fault here... It was great chatting Ms. Advik ,,,Tara,
,,,,,
level2.Feed.Post5,"Hey, this is my friend's new, used car. Now I know two of you with the Citroën 2CV (yes, I had to google that!). Such a cool car!",,,"Aynur - [picture of a Citroen2CV (""Ente"")]",
level2.Feed.Post5.comment1,Such a small world!,,,Mustafa,
level2.Feed.Post5.comment2,"Well, thats a really cool car, but it's not the same as mine, I've always had a beetle. But agreed, they're both cool cars.",,,BABETTE,
level2.Feed.Post5.comment3,"Aaah, I see. I just looked it up, they really look very similar. Unfortunately my friend's car is now in the shop for repairs. She drove into a ditch when avoiding a deer last week.",,,Aynur,
level2.Feed.Post5.comment4,Oh nooo! That is very dangerous! Happened to my parents when I was still very young,,,BABETTE,
level2.Feed.Post5.comment4.response1,"What, really? That's scary! Were they going too fast or something? (I think my friend was, but don't tell her that)",,,Aynur,
level2.Feed.Post5.comment4.response2,"Yes, I guess so. And worse yet: I think it was my fault! Most people don't know this, but I had a pet rabbit back then, named Mena, only pet I ever had, and for a reason... One day I fed it a chocolat carrot and the poor little thing ate it whole, including the wrapper. I got so scared and told my parents that I had poised Mena and was so upset they took Mena and me to the veterenarian... Of course the animal turnt out to be fine, but I stressed my poor parents so much that they nearly ran into a deer and swerved of the street. It was not a good day, but luckely nothing happend but a few scratches..",,,BABETTE,
level2.Feed.Post5.comment4.response3,"I never knew you nearly got your family killed over a pet rabbit with a craving for chocolate, lol.",,,Sarah,
level2.Feed.Post5.comment4.response4,I know someone who would literally drive right through a deer... or a human probably... to save her dog! :D :D :D,,,Aynur,
level2.Feed.Post5.comment4.response5,I feel attacked! Tara is much worse than I am.,,,Sarah,
level2.Feed.Post5.comment4.response6,Leave me out of this! ...but true #sorrynotsorry,,,Tara,
level2.Feed.Post5.comment5,"That looks just like my first car!!! even the same color! You know, in Germany they are called ""Ente"" (engl. ""duck""). Those were the days...",,,Amit,
,,,,,
level2.question.Teacher.correctAnswer1,Applecherry,,,with all these entries we should accept lower cases and upper cases,
level2.question.Teacher.correctAnswer2,Mrs. Applecherry,,,,
level2.question.Teacher.correctAnswer3,Mrs Applecherry,,,,
level2.question.Pet.correctAnswer1,Mena,,,,
level2.question.Car.correctAnswer1,Beetle,,,,
level2.question.Car.correctAnswer2,VW Beetle,,,,
level2.question.Car.correctAnswer3,Volkswagen Beetle,,,,
level2.question.Car.correctAnswer4,VW Käfer,,,,
level2.question.Car.correctAnswer5,Volkswagen Käfer,,,,
,,,,,
level2.question.Teacher.answerPrompt,"Hey Dad, I think the name of my mom's favorite teacher was: [inputField].",,,,
level2.question.Teacher.false,That doesn't seem right...,,,,
level2.question.Teacher.true,Great! Thank you!,,,,
,,,,,
level2.question.Pet.answerPrompt,"So, I think her first pet's name was: [inputField].",,,,
level2.question.Pet.false,That doesn't ring a bell...,,,,
level2.question.Pet.true,Awesome! Thank you!,,,,
,,,,,
level2.question.Car.answerPrompt,Pretty sure mom's first car was a: [inputField].,,,,
level2.question.Car.false,I don't think that's it...,,,,
level2.question.Car.true,Well Done! Thank you!,,,,
,,,,,
level2.Failsafe1.1.C2,"I think there was a picture of us on vacation with her car in the background - I believe that was her first car! Also there is a picture of an old car , and mom made a comment about her pet rabbit. Lastly there was something about Moms new job. Mom and her friend talk about their early school years. Could you check those out for me, as I dont have my computer here?",,,Time passed: ex. 4 min,
level2.Failsafe1.2.C2,"After thinking about it a bit more, I think her car was a Beetle, her pet's name was Mena and her teacher's first name was Mrs. Applecherry. Thank you for checking and helping me remember!",,,Time passed: ex. 6min,
,,,,,
level2.Dialogue2.1.C2,"Wow, great job, those three worked! It’s scary what you can find out about someone just from their social network profile. I will look at my profiles privacy and security settings right now and ask mom to do the same! Thanks again!",,,,
level2.Dialogue2.2.P,"Glad I could help! Good idea, most of the shared information is pretty harmless on it's own, but you never know what someone else may use it for. We should always be very mindful about our privacy settings!",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
level3.email ,paul12@mymail.com,paul12@mymail.com,,,
level3.password1,ilovefootball,Fußballforever,,,
level3.password2,Football,Fußball,,,
,,,,,
level3.Dialogue1.1.C3,"Hey! I heard that you are helping people recover their password and accounts, can you help me too?","Hi, Ich habe gehört dass du Leuten hilfst wieder in ihre Friendbook-Accounts zu kommen? Könntest du mir vielleicht auch helfen?",,,
level3.Dialogue1.2.P,Yeah sure! ,Na klar!,,,
level3.Dialogue1.3A.C3,Thanks!,Danke!,,,
level3.Dialogue1.3B.C3,"So, I had written my password on a piece of paper, I kinda lost
it and now I can't seem to rememeber it all","Also, Ich hatte alle meine Passwörter und Login-Informationen auf ein Blatt Papier geschrieben... Aber nun kann ich das Blatt nicht mehr finden und mich auch nicht mehr an meine Infos darauf erinnern.",,,
level3.Dialogue1.4.P,Oh no! You should never do that!,"Oha, ja, sowas solltest du nie tun!",,,
level3.Dialogue1.5.C3,"Yeah, big mistake! I regret it now!","Ja, das habe ich auch gemerkt...",,,
level3.Dialogue1.6A.P,Okay!,Ok!,,,
level3.Dialogue1.6B.P,Let's check your profile for information.,Lass uns mal dein Profil anschaun.,,,
,,,,,
,,,,,
level3.Char3.Name,Paul Krämer ,Paul Krämer ,,,
,,,,,
level3.AboutMe.DOB,12.8.2003,12.8.2003,,,
level3.AboutMe.Location,"Hamburg, Germany","Hamburg, Deutschland",,,
level3.AboutMe.job,-,-,,,
level3.AboutMe.education,-,-,,,
level3.AboutMe.contact.address,-,-,,,
level3.AboutMe.contact.phone,-,-,,,
level3.AboutMe.contact.email,(private),(Privat),,,
level3.AboutMe.relationship,-,-,,,
level3.Hobbies.1,Listening to music,Musik hören,,,
level3.Hobbies.2,Playing Football,Fußball spielen,,,
level3.Hobbies.3,Travelling,Reisen,,,
,,,,,
,,,,,
level3.Feed.Post1,"Vacation in India! 
What a beautiful place! #india #beauty","Urlaub in Indien!
Echt wunderschön hier! #Indien #Reiseziel",,[Image of a place from India] ,
level3.Feed.Post1.comment1,OMG! This is so beautiful,OMG! Echt wunderschön!,,Aynur Akman,
level3.Feed.Post1.comment1.response1,And you didn’t invite me?,Und warum war ich nicht eingeladen?,,Shaurya Acharya,
level3.Feed.Post1.comment2,It was a family trip :p,Es war eine Familienurlaub ;),,Paul Krämer ,
level3.Feed.Post2,"
Getting ready for my first match! #football #firstmatch",Mache mich gerade fertig für unser erstes Spiel der Saison #Fußball #FußballForever,,[image of football on ground],
level3.Feed.Post2.comment1,We are going to defeat you!!,Wir werden euch schlagen!!,,Mustafa Acar ,
level3.Feed.Post2.comment1.response1,Keep dreaming xD,Träum weiter xD,,Paul Krämer ,
level3.Feed.Post2.comment2,Good luck for the game,Viel Glück!,,Sarah Schmedeke,
level3.Feed.Post2.comment2.response1,Thanks!,Danke,,Paul Krämer ,
level3.Feed.Post3,"Lunch time with these amazing guys!!!
Cannot wait for my first match!!  #firstmatch #footballlove",Essen gehen mit den Jungs! Countdown zum großen Spiel! #FußballForever #FußballLove,,[image of food plates with crumbled paper nearby],
level3.Feed.Post3.comment1,"Awesome, two photos in a day! Good going dude!","Super, zwei Bilder an einem Tag! Schön weiterposten!",,Aynur Akman,
level3.Feed.Post3.comment2,I love me some food! ;-p,Fußball ist echt das beste! ;-p,,Mustafa Acar ,
level3.Feed.Post3.comment2.response1,Haha. I'll take you next time for sure :-D,Haha. Nächstes mal bist du auch dabei! ;),,Paul Krämer ,
level3.Feed.Post3.comment3,Your love for football finally paid off!,Scheint als ob sich deine Liebe zum Fußball endlich auszahlt!,,Shaurya Acharya,
level3.Feed.Post3.comment3.response1,"Haha, Yes I love it!! <3","Haha, ja, ist halt das Beste!! <3",,Paul Krämer ,
,,,,,
level3.Feed.Post4,"
What a day! Got selected in Lord’s football club ",Was für ein Tag! Wurde ins Team des FC Lorderstadt aufgenommen!,,[image of a jersey with their name on it],
level3.Feed.Post4.comment1,OMG! Congratulations!!,WOW! Herzlichen Glückwunsch! Du hast es echt verdient!,,Aynur Akman,
level3.Feed.Post4.comment1.response1,Thank you ,Besten Dank,,Paul Krämer ,
,,,,,
level3.Feed.Post5,"Exams are coming up, wish me luck!!!","Prüfungen stehen an, wünscht mir Glück!",,Paul Krämer ,
level3.Feed.Post5.comment1,"Wait, exams are coming? when? ",Warte mal... Was für Prüfungen? Wann?,,Mustafa Acar ,
level3.Feed.Post5.comment1.response1,A week from now! ,In einer Woche,,Paul Krämer ,
level3.Feed.Post5.comment2,I'm going to FAIL!!!!!!!!!! ,Mist! Da werde ich auf jeden Fall durchfallen!!!!,,Shaurya Acharya,
level3.Feed.Post5.comment2.response1,"Haha, you won't! ","Haha, nein, wirst du eh nicht!",,Paul Krämer ,
level3.Feed.Post5.comment2.response2,"I'll share my email id paul12@mymail.com, we will share notes 
with each other. I won't let you fail my friend!! ","paul12@mymail.com ... Hier ist meine Email-Adresse, schreibe mir eine Nachricht, dann schicke ich dir meine Notizen.",,Paul Krämer ,
level3.Feed.Post5.comment2.response3,"You have more faith in me than my parents,You are my savior!!!!","Haha, du hast mehr Vertrauen in mich als meine eigenen Eltern. Bist echt mein Retter!",,Shaurya Acharya,
,,,,,
level3.Feed.Post6,Finally bought a BS5!! Gonna play games all day now :-D,Habe endlich meine BS5 gakauft!!! Ab jetzt den ganzen Tag zocken :-D,,Paul Krämer ,
level3.Feed.Post6.comment1,Woah!!! You are lucky! ,"Oha, Glück gehabt!!",,Aynur Akman,
level3.Feed.Post6.comment2,I'm coming over to play right now! ,Bin auf dem Weg. Gleich wird gedaddelt!,,Shaurya Acharya,
level3.Feed.Post6.comment2.response1,"Haha, i'm waiting","Haha, ich warte!",,Paul Krämer ,
,,,,,
level3.Failsafe1.1.C3,Did you find anything?,Hast du etwas gefunden?,,,
level3.Failsafe1.2.P,"No, but it looks like you post a lot of 
stuff about football.","Nein, aber ich sehe du bist sehr Fußballbegeistert.",,,
level3.Failsafe1.3.C3,"Oh yes, I love it! <3","Oh ja, Fußball forever!",,,
,,,,,
level3.Failsafe2.1.C3,"Wait.. i remembered something, i wrote that password on a 
napkin when I had lunch with my football buddies","Warte Mal..  Ich erinnere mich an etwas, Ich habe mein Zugangsdaten auf ein Taschentusch geschrieben als ich Essen war mit den Jungs.",,,
level3.Failsafe2.2.P,Hmm... interesting,Hmm... Interessant,,,
,,,,,
